,No,Twitter_ID,Date,User,Text
0,0,1467810672,Mon Apr 06 22:19:49 PDT 2009,scotthamilton,upset ke update facebook texting might cry result school today also blah hate
1,0,1467810917,Mon Apr 06 22:19:53 PDT 2009,mattycus,dive many time ball manage save rest go bound
2,0,1467811184,Mon Apr 06 22:19:57 PDT 2009,ElleCTF,whole body feel itchy like fire
3,0,1467811193,Mon Apr 06 22:19:57 PDT 2009,Karoli,behave mad see
4,0,1467811372,Mon Apr 06 22:20:00 PDT 2009,joy_wolf,whole crew
5,0,1467811592,Mon Apr 06 22:20:03 PDT 2009,mybirch,need hug sad
6,0,1467811594,Mon Apr 06 22:20:03 PDT 2009,coZZ,hey long time see yes rain bite bite lol fine thank
7,0,1467811795,Mon Apr 06 22:20:05 PDT 2009,2Hood4Hollywood,nope
8,0,1467812025,Mon Apr 06 22:20:09 PDT 2009,mimismo,que muera
9,0,1467812416,Mon Apr 06 22:20:16 PDT 2009,erinx3leannexo,spring break plain city snow
10,0,1467812579,Mon Apr 06 22:20:17 PDT 2009,pardonlauren,pierce ears love
11,0,1467812723,Mon Apr 06 22:20:19 PDT 2009,TLeC,bear watch think ua loss embarrass
12,0,1467812771,Mon Apr 06 22:20:19 PDT 2009,robrobbierobert,count idk either never talk anymore
13,0,1467812784,Mon Apr 06 22:20:20 PDT 2009,bayofwolves,would first gun really though zac snyder doucheclown
14,0,1467812799,Mon Apr 06 22:20:20 PDT 2009,HairByJess,wish get watch miss premiere
15,0,1467812964,Mon Apr 06 22:20:22 PDT 2009,lovesongwriter,hollis death scene hurt severely watch film wry directors cut
16,0,1467813137,Mon Apr 06 22:20:25 PDT 2009,armotley,file tax
17,0,1467813579,Mon Apr 06 22:20:31 PDT 2009,starkissed,ive always want see rent love soundtrack
18,0,1467813782,Mon Apr 06 22:20:34 PDT 2009,gi_gi_bee,oh dear drink forget table drink
19,0,1467813985,Mon Apr 06 22:20:37 PDT 2009,quanvu,day get much do
20,0,1467813992,Mon Apr 06 22:20:38 PDT 2009,swinspeedx,one friend call ask meet mid valley today time sigh
21,0,1467814119,Mon Apr 06 22:20:40 PDT 2009,cooliodoc,bake file cake ated
22,0,1467814192,Mon Apr 06 22:20:41 PDT 2009,Ljelli3166,blagh class tomorrow saya
23,0,1467814783,Mon Apr 06 22:20:50 PDT 2009,KatieAngell,go cry sleep sleep watch marley
24,0,1467814883,Mon Apr 06 22:20:52 PDT 2009,gagoo,sad miss lilly
25,0,1467815199,Mon Apr 06 22:20:56 PDT 2009,abel209,ooooh lol leslie ok leslie get mad
26,0,1467815923,Mon Apr 06 22:21:07 PDT 2009,fatkat309,hack account aim play make new one
